LIVE VALIDATION — every row should read OK. Anything else means a broken reference.,,,
check,expected,actual,status
Abilities with an emotion not in 'emotions',0,,
Abilities missing an id,0,,
Units with a blank pool,0,,
Matchup rows with no label,0,,
Matchup attack emotions unknown (blank/*/NONE allowed),0,,
Matchup layer emotions unknown (blank/*/NONE allowed),0,,
Duplicate ability ids,0,,
Duplicate emotion ids,0,,
Unit emotions not in 'emotions' (player is blank),0,,
Unit tiers that are not WEAK/REGULAR/STRONG (blank allowed),0,,
Statuses an ability applies that do not exist,0,,
