"Title-screen mood line: ""Barcelona, <weekday>, <phrase>."" day is MON..SUN or * for any. Hours are Barcelona local, to_hour exclusive; a band may wrap past midnight. Highest priority wins, ties are random.",,,,,,,
id,day,from_hour,to_hour,phrase,priority,enabled,notes
LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,planned
dawn_1,*,5,7,the first light is still deciding,0,1,
dawn_2,*,5,7,nobody has spoken yet today,0,1,
morn_1,*,7,10,early morning,0,1,
morn_2,*,7,10,the early carriages are full of unfinished sleep,0,1,
morn_3,*,7,10,everyone is already late,0,1,
mid_1,*,10,13,middle of the day,0,1,
mid_2,*,10,13,the light is flat and honest,0,1,
noon_1,*,13,16,all afternoon ahead,0,1,
noon_2,*,13,16,the long slow part of the day,0,1,
late_1,*,16,19,the afternoon is running out,0,1,
late_2,*,16,19,everyone is going somewhere they did not choose,0,1,
dusk_1,*,19,21,somber twilight,0,1,
dusk_2,*,19,21,the hour the day admits what it was,0,1,
night_1,*,21,24,the night is getting loud,0,1,
night_2,*,21,24,the last trains are filling up,0,1,
small_1,*,0,5,"the madrugada, and still moving",0,1,
small_2,*,0,5,too late to be anything but honest,0,1,
mon_morn,MON,5,10,"monday, and the week already weighs something",2,1,
mon_dusk,MON,19,24,the longest monday of the month,2,1,
wed_mid,WED,10,16,the week is stuck exactly in the middle,2,1,
thu_late,THU,16,21,"almost, but not yet",2,1,
fri_dusk,FRI,19,21,a night to finally be free,2,1,
fri_night,FRI,21,24,a night to finally be free,2,1,
fri_small,FRI,0,5,friday refusing to end,2,1,
sat_mid,SAT,10,16,a saturday with nothing owed to anyone,2,1,
sat_night,SAT,21,24,the city is pretending it never has to work again,2,1,
sun_mid,SUN,10,16,a sunday that stretches too far,2,1,
sun_dusk,SUN,19,24,"sunday dusk, and monday already breathing on it",2,1,
