Emotion,Persona,State,Dialogue Line
Anger,The Evicted,Intro,Thirty years in this flat and they sell it to a fund! I'LL BURN IT DOWN WITH YOU IN IT!
Anger,The Evicted,Winning,Choke on the ashes! CHOKE ON THEM!
Anger,The Evicted,Losing,No... my things... my life...
Anger,The Evicted,Defeat,Just let me... lock the door... one last time.
Anger,The Exploited,Intro,Fourteen hours biking in the rain for three euros! I'LL BREAK YOUR FUCKING LEGS!
Anger,The Exploited,Winning,Take your luxury takeout and choke on it!
Anger,The Exploited,Losing,My bike... I can't afford to fix my bike...
Anger,The Exploited,Defeat,The app... it says I'm deactivated...
Anger,The Betrayed,Intro,You think a text message makes up for six months of lies?! I'LL TEAR YOUR THROAT OUT!
Anger,The Betrayed,Winning,Look at me! Look at me when I'm screaming at you!
Anger,The Betrayed,Losing,Stop deflecting... stop making me the crazy one!
Anger,The Betrayed,Defeat,I just... wanted the truth.
Anger,The Vandal,Intro,This isn't your playground! Get out of my neighborhood before I smash your skull!
Anger,The Vandal,Winning,Go back to your perfect little life!
Anger,The Vandal,Losing,There are too many of you...
Anger,The Vandal,Defeat,We're being erased...
Anger,The Denied,Intro,Three years waiting for papers and you stamp DENIED?! I'LL KILL EVERYONE HERE!
Anger,The Denied,Winning,Stamp this! STAMP THIS IN BLOOD!
Anger,The Denied,Losing,"Please, you don't understand what they'll do to me..."
Anger,The Denied,Defeat,I don't exist anymore...
Disgust,The Aristocrat,Intro,"Look at you, sweating on the metro. Did you even shower before touching my city?"
Disgust,The Aristocrat,Winning,Filth always sinks to the bottom. Stay there.
Disgust,The Aristocrat,Losing,Don't touch me with those calloused hands!
Disgust,The Aristocrat,Defeat,Your smell... it won't wash off...
Disgust,The Apathetic,Intro,Another addict blocking the ATM. Can't you just die somewhere out of sight?
Disgust,The Apathetic,Winning,Scrape yourself off my shoes.
Disgust,The Apathetic,Losing,Don't bleed on my designer coat!
Disgust,The Apathetic,Defeat,I am... better than this...
Disgust,The Xenophobe,Intro,"You come here, take our space, speak your garbage language. You make me sick."
Disgust,The Xenophobe,Winning,Clean it up. That's all you're good for.
Disgust,The Xenophobe,Losing,How dare you speak back to me?!
Disgust,The Xenophobe,Defeat,This isn't... your home...
Disgust,The Purist,Intro,"Plastic faces, fake lips, empty heads. You're a walking infection in this club."
Disgust,The Purist,Winning,Choke on your vanity.
Disgust,The Purist,Losing,Get your cheap perfume away from me.
Disgust,The Purist,Defeat,It's all so... hollow...
