"What each enemy says. states: INTRO (battle start) - WINNING (player drops below 20% MS) - LOSING (this enemy drops below 20% MS) - DEFEAT (this enemy dies). A battle picks one persona at random from the rows matching the enemy's emotion, so the same enemy type speaks differently each run. `tier` narrows that: a WEAK or STRONG enemy uses only the rows carrying its own tier, and everything else uses the rows where tier is BLANK. Blank means ANY tier, not 'no tier'. Give a new persona all four states or it will fall silent at the moment it is missing.",,,,,,
emotion,persona,state,line,tier,enabled,notes
LIVE,LIVE,LIVE,LIVE,LIVE,planned,planned
ANGER,The Evicted,INTRO,Thirty years in this flat and they sell it to a fund! I'LL BURN IT DOWN WITH YOU IN IT!,,1,
ANGER,The Evicted,WINNING,Choke on the ashes! CHOKE ON THEM!,,1,
ANGER,The Evicted,LOSING,No... my things... my life...,,1,
ANGER,The Evicted,DEFEAT,Just let me... lock the door... one last time.,,1,
ANGER,The Exploited,INTRO,Fourteen hours biking in the rain for three euros! I'LL BREAK YOUR FUCKING LEGS!,,1,
ANGER,The Exploited,WINNING,Take your luxury takeout and choke on it!,,1,
ANGER,The Exploited,LOSING,My bike... I can't afford to fix my bike...,,1,
ANGER,The Exploited,DEFEAT,The app... it says I'm deactivated...,,1,
ANGER,The Betrayed,INTRO,You think a text message makes up for six months of lies?! I'LL TEAR YOUR THROAT OUT!,,1,
ANGER,The Betrayed,WINNING,Look at me! Look at me when I'm screaming at you!,,1,
ANGER,The Betrayed,LOSING,Stop deflecting... stop making me the crazy one!,,1,
ANGER,The Betrayed,DEFEAT,I just... wanted the truth.,,1,
ANGER,The Vandal,INTRO,This isn't your playground! Get out of my neighborhood before I smash your skull!,,1,
ANGER,The Vandal,WINNING,Go back to your perfect little life!,,1,
ANGER,The Vandal,LOSING,There are too many of you...,,1,
ANGER,The Vandal,DEFEAT,We're being erased...,,1,
ANGER,The Denied,INTRO,Three years waiting for papers and you stamp DENIED?! I'LL KILL EVERYONE HERE!,,1,
ANGER,The Denied,WINNING,Stamp this! STAMP THIS IN BLOOD!,,1,
ANGER,The Denied,LOSING,"Please, you don't understand what they'll do to me...",,1,
ANGER,The Denied,DEFEAT,I don't exist anymore...,,1,
DISGUST,The Aristocrat,INTRO,"Look at you, sweating on the metro. Did you even shower before touching my city?",,1,
DISGUST,The Aristocrat,WINNING,Filth always sinks to the bottom. Stay there.,,1,
DISGUST,The Aristocrat,LOSING,Don't touch me with those calloused hands!,,1,
DISGUST,The Aristocrat,DEFEAT,Your smell... it won't wash off...,,1,
DISGUST,The Apathetic,INTRO,Another addict blocking the ATM. Can't you just die somewhere out of sight?,,1,
DISGUST,The Apathetic,WINNING,Scrape yourself off my shoes.,,1,
DISGUST,The Apathetic,LOSING,Don't bleed on my designer coat!,,1,
DISGUST,The Apathetic,DEFEAT,I am... better than this...,,1,
DISGUST,The Xenophobe,INTRO,"You come here, take our space, speak your garbage language. You make me sick.",,1,
DISGUST,The Xenophobe,WINNING,Clean it up. That's all you're good for.,,1,
DISGUST,The Xenophobe,LOSING,How dare you speak back to me?!,,1,
DISGUST,The Xenophobe,DEFEAT,This isn't... your home...,,1,
DISGUST,The Purist,INTRO,"Plastic faces, fake lips, empty heads. You're a walking infection in this club.",,1,
DISGUST,The Purist,WINNING,Choke on your vanity.,,1,
DISGUST,The Purist,LOSING,Get your cheap perfume away from me.,,1,
DISGUST,The Purist,DEFEAT,It's all so... hollow...,,1,
DISGUST,The Mirror,INTRO,"I see the track marks under your sleeves. You're rotting from the inside, just like me.",,1,
DISGUST,The Mirror,WINNING,We belong in the gutter. Accept it.,,1,
DISGUST,The Mirror,LOSING,Don't look at me with pity!,,1,
DISGUST,The Mirror,DEFEAT,Just... one more hit to make it stop...,,1,
SADNESS,The Left Behind,INTRO,No. Dad didn't leave. Dad loves me... Loved me?,,1,
SADNESS,The Left Behind,WINNING,I'll make you stay! Nobody leaves me again!,,1,
SADNESS,The Left Behind,LOSING,Did I do something wrong?,,1,
SADNESS,The Left Behind,DEFEAT,I'll be good... I promise I'll be good...,,1,
SADNESS,The Isolated,INTRO,The hospital called. Nobody came to claim his things. Am I next?,,1,
SADNESS,The Isolated,WINNING,If you stay down... it hurts less. I promise.,,1,
SADNESS,The Isolated,LOSING,Why does everyone walk away?,,1,
SADNESS,The Isolated,DEFEAT,Finally... it's quiet.,,1,
SADNESS,The Erased,INTRO,My grandfather built this bar. Now it's a fucking brunch spot... I have nothing.,,1,
SADNESS,The Erased,WINNING,Drink the bitterness. It's all we have left.,,1,
SADNESS,The Erased,LOSING,They're painting over the mural...,,1,
SADNESS,The Erased,DEFEAT,I don't recognize my own street.,,1,
SADNESS,The Grieving,INTRO,The sea was supposed to be calm... they promised it was safe to cross...,,1,
SADNESS,The Grieving,WINNING,Drown with me! Drown with my memories!,,1,
SADNESS,The Grieving,LOSING,I can't hold on to the raft...,,1,
SADNESS,The Grieving,DEFEAT,The water is so cold...,,1,
SADNESS,The Broken Dream,INTRO,Ten years playing in the metro... nobody even looks up anymore.,,1,
SADNESS,The Broken Dream,WINNING,LISTEN TO ME! FOR ONCE IN YOUR LIFE!,,1,
SADNESS,The Broken Dream,LOSING,My strings are snapping...,,1,
SADNESS,The Broken Dream,DEFEAT,Silence... just like always.,,1,
FEAR,The Hunted,INTRO,"Shhhh shhhhhhhhh! Those transphobes behind the corner, they'll notice us, move back slowly... oh no OH NO",,1,
FEAR,The Hunted,WINNING,STAY BACK! I HAVE A KNIFE!,,1,
FEAR,The Hunted,LOSING,"Please, I just want to walk home...",,1,
FEAR,The Hunted,DEFEAT,Not again... please not again...,,1,
FEAR,The Paranoid,INTRO,The cameras on the streetlights—they track our heartbeats. Don't let them see you panic!,,1,
FEAR,The Paranoid,WINNING,I'll blind them! I'LL BLIND THE WHOLE CITY!,,1,
FEAR,The Paranoid,LOSING,They're zooming in... they know my name...,,1,
FEAR,The Paranoid,DEFEAT,Erase my... search history...,,1,
FEAR,The Debt-Ridden,INTRO,"I have the money, I swear! Just give me till Friday!",,1,
FEAR,The Debt-Ridden,WINNING,I'll take yours! I'll pay them with your blood!,,1,
FEAR,The Debt-Ridden,LOSING,They're going to break my hands...,,1,
FEAR,The Debt-Ridden,DEFEAT,Tell my mother... I'm sorry...,,1,
FEAR,The Trapped,INTRO,He said he wouldn't hit me again if I just stayed quiet...,,1,
FEAR,The Trapped,WINNING,Don't make him angry! Just do what he says!,,1,
FEAR,The Trapped,LOSING,He's coming up the stairs... I can hear his keys...,,1,
FEAR,The Trapped,DEFEAT,It was always going to end like this...,,1,
FEAR,The Night-Walker,INTRO,Footsteps. Stop. Footsteps. Why are they matching my pace?,,1,
FEAR,The Night-Walker,WINNING,I'll run! You can't catch me in the dark!,,1,
FEAR,The Night-Walker,LOSING,The streetlights are all broken here...,,1,
FEAR,The Night-Walker,DEFEAT,Nobody can hear me scream...,,1,
JOY,The Delusional,INTRO,Life is MINE and this street is MY world to strut by and BLIND YOU WITH MY LIGHT,,1,
JOY,The Delusional,WINNING,Bask in my glory! I am untouched by sorrow!,,1,
JOY,The Delusional,LOSING,Wait... why is everyone looking at me like that?,,1,
JOY,The Delusional,DEFEAT,The spotlight... it's fading...,,1,
JOY,The Substance Abuser,INTRO,"Another pill, another party! The sun never sets in Raval if your eyes are wide enough!",,1,
JOY,The Substance Abuser,WINNING,DANCE WITH ME! WHY AREN'T YOU DANCING?!,,1,
JOY,The Substance Abuser,LOSING,"No, no, the comedown... I can't feel my teeth...",,1,
JOY,The Substance Abuser,DEFEAT,It's so dark... where did the music go?,,1,
JOY,The Cultist,INTRO,We are all just vibrations! I have transcended this fleshy prison!,,1,
JOY,The Cultist,WINNING,Let me cleanse your aura... WITH FIRE!,,1,
JOY,The Cultist,LOSING,My chakras... they are bleeding...,,1,
JOY,The Cultist,DEFEAT,The universe... lied to me...,,1,
JOY,The Influencer,INTRO,"A million followers, baby! Look at this view, look at this life!",,1,
JOY,The Influencer,WINNING,"SMILE FOR THE CAMERA, TRASH!",,1,
JOY,The Influencer,LOSING,I'm losing sponsors... I'm losing relevance...,,1,
JOY,The Influencer,DEFEAT,Did anybody... even like... the post?,,1,
JOY,The Pyromaniac,INTRO,Look at how pretty the flames are on the dumpsters! It's art!,,1,
JOY,The Pyromaniac,WINNING,BURN! EVERYTHING LOOKS BETTER IN RED!,,1,
