Global tunables. Keys are read by name — renaming one breaks whatever reads it.,,,,,
key,value,description,,,
LIVE,LIVE,planned,,,
lineCap,3,"FALLBACK line size, used only if a unit row leaves line_cap blank.",,,
maxLayers,6,Layer slots per unit.,,,
restEc,15,Charge gained by departing with an empty line.,,,
ecBasis,POWER,POWER = charge figured from the ability's base power. DEALT = from damage actually dealt.,,,
noLayerDmgMult,1,Superseded by the matchups sheet; kept as a fallback.,,,
noLayerEcMult,0,Superseded by the matchups sheet; kept as a fallback.,,,
shieldRotatesLayer,0,Whether a blocked attack still rotates the layer queue.,,,
lowMsWarnPct,0.18,Below this fraction of max MS the ceiling chevron pulses red.,,,
clashSeconds,4,Length of the death sequence.,,,
layerRegenAtTurnEnd,1,"Broken layers stay gone until the round ends, then regrow at the back of the queue.",,,
chargeStepMs,260,How long each charge segment holds before the next.,,,
flyMs,120,How long a station takes to fly across and strike the target.,,,
typeMs,32,Delay between letters of dialogue.,,,
dialogueHoldMs,3000,How long a finished line stays on screen before it fades.,,,
lowHpTalkPct,0.2,Fraction of max MS below which the winning / losing lines fire.,,,
overloadSlotPer,0.25,Every this-much overflow (as a fraction of max MS) forces one more corrupted slot.,,,
aiVarietyChance,0.22,Chance the AI takes a random affordable attack instead of its best one.,,,
aiDebuffChance,0.5,Chance the AI spends a slot on a debuff the target is not already suffering.,,,
aiGrowChance,0.45,"How often the enemy takes an ADDLAYER ability when one is worth a slot. Like the debuff branch, this exists because the AI scores on damage per slot and a layer deals none - without it Bristle, Bile and Good Vibes sit in the pool and are never once chosen.",,,
aiChargeBias,0.55,Chance the AI prefers an ability with charge segments when it can afford one.,,,
shuffleLayersEachRound,1,Re-order every unit's layer queue at the start of each round.,,,
maxExtraSlots,6,Hard cap on extra slots of any kind a line may carry.,,,
loadoutPatternAlpha,0.13,How faint the emotion glyph tiled behind a Loadout button is.,,,
loadoutSlots,4,"Ability slots in one Loadout, and so cells per page.",,,
equippedSlots,3,Loadouts the player carries into a battle.,,,
slotArriveMs,260,Gap between one temporary slot flying in and the next.,,,
impactFlashMs,45,White frame on a hit.,,,
impactShakeMs,85,Shake after that white frame.,,,
stunTurns,1,Turns a unit is stunned for once its last layer breaks. It skips its line and regrows nothing.,,,
lineTravelMs,200,How long the line takes to slide the next station to the centre.,,,
lineFlashMs,90,How long a centred station flashes before it strikes.,,,
chargeShownMax,2,Most charge stations drawn in an ability box; beyond this it just repeats.,,,
critChance,0.05,"Default chance an attack crits, when the ability does not say otherwise.",,,
frameMaxW,420,The phone frame's widest; nothing drawn for it may exceed this.,,,
momentPx,2,Upscale of the title screen's mood line: bigger = chunkier pixels.,,,
momentSize,10,LOGICAL type size; what you see is this times momentPx.,,,
critTagMs,700,How long a plain positioned tag stays up.,,,
critHoldMs,1000,How long CRITICAL is held before the earned slot flies in.,,,
critFlashMs,260,One wash of the screen in the attacking emotion's colour.,,,
critSlotFlyMs,520,The earned slot travelling from the tag to the line.,,,
critMult,2,Damage multiplier on a critical.,,,
statusStepMs,2000,"A station that applies a status holds this long, so it can be read.",,,
attackStepMs,600,"Total time one executed station takes, start to finish.",,,
lineAlertFlashes,3,How many times a line flashes white before it starts executing.,,,
