"One row per PLACE, not per stop — an interchange is a single station several lines call at. `state` is the station's condition (blank = nothing special); it drives what the map shows and what happens to a player passing through, in either direction. x/y are schematic world units; the renderer squares every link to 45 degrees, so they only need to be roughly right.",,,,,,,,,,,,
id,name,lines,emotions,state,spawn,fog,threat,diltransience,x,y,enabled,notes
LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,planned
TRINITAT_NOVA,Trinitat Nova,L3|L4,DISGUST|JOY,,,,,,414,24,1,
ROQUETES,Roquetes,L3,DISGUST,,,,,,396,42,1,
CANYELLES,Canyelles,L3,DISGUST,,,,,,378,60,1,
VIA_JULIA,Via Júlia,L4,JOY,,,,,,432,60,1,
VALLDAURA,Valldaura,L3,DISGUST,,,,,,360,78,1,
MUNDET,Mundet,L3,DISGUST,,,,,,342,96,1,
MONTBAU,Montbau,L3,DISGUST,,,,,,324,114,1,
LLUCMAJOR,Llucmajor,L4,JOY,,,,,,432,120,1,
EL_COLL_LA_TEIXONERA,El Coll | La Teixonera,L5,SADNESS,,,,,,342,126,1,
EL_CARMEL,El Carmel,L5,SADNESS,,,,,,360,126,1,
HORTA,Horta,L5,SADNESS,,,,,,378,126,1,
FONDO,Fondo,L1,ANGER,,,,,,540,126,1,
SARRIA,Sarrià,L6,FEAR,,,,,,186,144,1,
VALL_D_HEBRON,Vall d'Hebron,L3|L5,DISGUST|SADNESS,,,,,,324,144,1,
VILAPICINA,Vilapicina,L5,SADNESS,,,,,,396,144,1,
SANTA_COLOMA,Santa Coloma,L1,ANGER,,,,,,522,144,1,
LES_TRES_TORRES,Les Tres Torres,L6,FEAR,,,,,,204,162,1,
PENITENTS,Penitents,L3,DISGUST,,,,,,306,162,1,
VIRREI_AMAT,Virrei Amat,L5,SADNESS,,,,,,414,162,1,
BARO_DE_VIVER,Baró de Viver,L1,ANGER,,,,,,504,162,1,
LA_BONANOVA,La Bonanova,L6,FEAR,,,,,,222,180,1,
VALLCARCA,Vallcarca,L3,DISGUST,,,,,,306,180,1,
MARAGALL,Maragall,L4|L5,JOY|SADNESS,,,,,,432,180,1,
TRINITAT_VELLA,Trinitat Vella,L1,ANGER,,,,,,486,180,1,
