"One row per combatant. 'layers' is outermost-first and rotates as it takes hits. 'pool' is which abilities this unit may use. Add enemies by adding rows. `drops` is what BEATING this unit may leave, as kind:amount:chance - CRYSTAL:2:0.75|SEGMENT:3:0.55|ORB:1:0.40 means up to two crystals three quarters of the time, up to three Track Segments just over half, and a Stamina Orb (which gives back orbMsPct of MaxMS) two times in five. Each is rolled on its own, so an enemy can leave everything, something, or nothing. Blank means nothing ever. `tier` is WEAK / REGULAR / STRONG: it is not a stat, it is what the enemy LOOKS like - a weak one is concentric triangles in battle and a small dart on the ride, a strong one is a seven-pointed star and a large spined shape. `spawn_lines` is where the map may produce it, as line:weight - L2:0.15|L5:0.15 means an uncommon sight on either. `*` is every line, and is what keeps a line with no units of its own from being empty. LEAVE IT BLANK for a boss: a unit the ride can never roll is one only the objectives sheet can reach. `persona` PINS this unit to one row of the dialogue sheet instead of drawing a character at random, which is what a boss needs and an anonymous commuter does not. `bg_bright` multiplies how strongly this enemy's colour lights the battle backdrop (blank or 1 is normal, 3 is three times as bright); `fx` names a flourish the fight runs around it (PAPARAZZI); `theme_opening`/`theme_loop` swap the battle music for this fight alone, and blank means the usual theme - a blank OPENING with a loop filled in simply starts on the loop. `ai_profile` is HOW IT DECIDES, as opposed to what it can do. GREEDY_MAX_DAMAGE (the default, and what every enemy used to share) takes at most one debuff a round and spends the rest of the line on damage. DEBUFF_FIRST takes every debuff it can afford that would actually land, and only then fills what is left - the difference between an enemy that occasionally inconveniences you and one whose whole idea is that it never hurts you much. `role` marks a unit as something the game treats specially: LINE_MANAGER gives it the second wind at bossPhaseAt, the shaking announcement on the platform, the two parting lines and the seven-second sink, and `theme2_loop` is the music its second phase is fought to. `scale` is how large it is drawn in battle against an ordinary enemy of its tier - 1.5 is half again, and every station boss carries it - and blank is 1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,name,emotion,tier,max_ms,start_ec_pct,layers,pool,line_dir,line_cap,max_bonus_slots,loadouts,spawn_lines,drops,persona,role,scale,bg_bright,fx,theme_opening,theme_loop,theme2_loop,ai_profile,init,start_shield,max_layers_override,tags,enabled,notes
LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,LIVE,planned,planned,planned,planned,planned,planned
player,You,,,400,0.5,JOY|SADNESS,ATK_ANGER|ATK_SADNESS|ATK_JOY|DEFEND|RECHARGE|HVY_ANGER|HVY_SADNESS|HVY_JOY|GEN_DISGUST|GEN_ANGER|ROT|INFLICT_SAD,1,3,6,LO_ANGER|LO_SADNESS|LO_JOY,,,,,,,,,,,,10,0,,PLAYER,1,
enemy,The Commuter,ANGER,REGULAR,250,0.4,ANGER|ANGER|SADNESS,ATK_ANGER|ATK_SADNESS|ATK_JOY|DEFEND|RECHARGE|HVY_ANGER|HVY_SADNESS|HVY_JOY|BLIND,-1,3,6,,L1:1.2|*:0.75,CRYSTAL:2:0.75|SEGMENT:3:0.55|ORB:1:0.40,,,,,,,,,GREEDY_MAX_DAMAGE,8,0,,ENEMY,1,"AI reads the matchups sheet, so retuning it retunes the AI. `drops` is what beating this one may leave. The `*` in spawn_lines is what stops L3, L4 and L6 being empty of enemies until they have units of their own — the Commuter rides every line, which is the joke and also the fallback."
enemy_anger_strong,The Enforcer,ANGER,STRONG,330,0.5,ANGER|ANGER|ANGER|SADNESS,ATK_ANGER|HVY_ANGER|GEN_ANGER|BLIND|ATK_SADNESS|DEFEND|RECHARGE,-1,3,6,,L1:0.14,CRYSTAL:3:0.85|SEGMENT:4:0.70|ORB:1:0.55,,,,,,,,,GREEDY_MAX_DAMAGE,8,0,,ENEMY,1,"Anger, turned up: one more layer than the Commuter and a third more stamina, and its pool is nearly all Anger, so an Anger-layered player is drinking most of it while anyone else is not."
enemy_surprise,The Interruption,SURPRISE,REGULAR,240,0.4,SURPRISE|SURPRISE|ANGER,ATK_SURPRISE|HVY_SURPRISE|STARTLE|ATK_ANGER|DEFEND|RECHARGE,-1,3,6,,L2:1.2,CRYSTAL:2:0.75|SEGMENT:3:0.55|ORB:1:0.40,,,,,,,,,GREEDY_MAX_DAMAGE,8,0,,ENEMY,1,L2's own. Slightly under the Commuter on stamina because STARTLE is worth more than it costs when it lands.
enemy_surprise_strong,The Reversal,SURPRISE,STRONG,320,0.5,SURPRISE|SURPRISE|SURPRISE|JOY,ATK_SURPRISE|HVY_SURPRISE|STARTLE|GEN_ANGER|ATK_JOY|DEFEND|RECHARGE,-1,3,6,,L2:0.12,CRYSTAL:3:0.85|SEGMENT:4:0.70|ORB:1:0.55,,,,,,,,,GREEDY_MAX_DAMAGE,8,0,,ENEMY,1,"Three Surprise layers deep. GEN_ANGER is in the pool so it can grow a layer that does NOT absorb Surprise, which is the counter to a player who came dressed for it."
enemy_sadness_weak,The Straggler,SADNESS,WEAK,150,0.3,SADNESS|SADNESS,ATK_SADNESS|INFLICT_SAD|DEFEND|RECHARGE,-1,2,4,,L2:0.6|L5:0.7,CRYSTAL:1:0.45|SEGMENT:2:0.40,,,,,,,,,GREEDY_MAX_DAMAGE,8,0,,ENEMY,1,"No heavy in the pool, on purpose: a WEAK enemy chips. Two slots, two layers, and INFLICT_SAD is the one thing it can do that you will remember. RARE EVEN AT HOME — the sheet says L5 at 0.15, not 1.0, because it was asked for as an uncommon sight on both its lines. Raise the L5 cell to make it Line 5's regular."
enemy_joy_weak,The Reveller,JOY,WEAK,150,0.3,JOY|JOY,ATK_JOY|GEN_JOY|DEFEND|RECHARGE,-1,2,4,,L2:0.6|L4:0.7,CRYSTAL:1:0.45|SEGMENT:2:0.40,,,,,,,,,GREEDY_MAX_DAMAGE,8,0,,ENEMY,1,"On L2 because that is where the wrong people end up, and on L4 because that is where the right ones do. It is the same reveller either way; only the line around it changes what that means."
enemy_joy,The Celebrant,JOY,REGULAR,245,0.4,JOY|JOY|SURPRISE,ATK_JOY|HVY_JOY|GEN_JOY|ATK_SURPRISE|DEFEND|RECHARGE,-1,3,6,,L4:1.2,CRYSTAL:2:0.75|SEGMENT:3:0.55|ORB:1:0.40,,,,,,,,,GREEDY_MAX_DAMAGE,8,0,,ENEMY,1,"L4's regular, and the counterpart to the Commuter on L1. The SURPRISE layer under two of Joy is what stops a Joy-dressed player drinking the whole fight."
enemy_joy_strong,The Euphoric,JOY,STRONG,325,0.5,JOY|JOY|JOY|SURPRISE,ATK_JOY|HVY_JOY|GEN_JOY|ATK_SURPRISE|STARTLE|DEFEND|RECHARGE,-1,3,6,,L4:0.12,CRYSTAL:3:0.85|SEGMENT:4:0.70|ORB:1:0.55,,,,,,,,,GREEDY_MAX_DAMAGE,8,0,,ENEMY,1,"Joy with nothing holding it back. HVY_JOY is the hardest single hit in the game and this is the only ordinary enemy carrying it, which is the whole of its threat - a long charge you can see coming and have to decide what to do about."
